年月日,開盤價,最高價,最低價,收盤價,成交量,成交值,報酬率,週轉率,流通在外股數,市值,最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重,成交值比重,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,股價營收比-TEJ
2006/01/02,"6,457.61","6,492.92","6,424.03","6,462.06","4,697,272","116,362,497",-1.3176,0.7199,"533,598,327","15,402,254",-,-,-1.3263,100,100,"831,039",-,17.79,-,1.73,1.36
2006/01/03,"6,476.20","6,591.77","6,457.09","6,591.77","5,214,136","154,358,024",2.0073,0.809,"533,598,327","15,711,641",-,-,1.9874,100,100,"993,767",-,18.14,-,1.77,1.39
2006/01/04,"6,658.32","6,670.96","6,579.66","6,616.44","5,910,064","181,449,337",0.3743,0.9386,"533,598,579","15,770,470",-,-,0.3736,100,100,"1,110,682",-,18.21,-,1.77,1.39
2006/01/05,"6,669.80","6,717.12","6,666.84","6,709.87","5,851,695","166,803,758",1.4121,0.9245,"533,603,912","15,994,661",-,-,1.4022,100,100,"1,088,084",-,18.47,-,1.8,1.41
2006/01/06,"6,757.41","6,761.01","6,676.65","6,694.82","5,904,757","170,640,093",-0.2243,0.9171,"533,604,390","15,958,276",-,-,-0.2245,100,100,"1,097,763",-,18.42,-,1.8,1.41
2006/01/09,"6,752.09","6,763.86","6,708.59","6,742.39","5,368,690","139,866,557",0.7105,0.8219,"533,594,390","16,070,624",-,-,0.708,100,100,"946,621",-,18.55,-,1.81,1.42
2006/01/10,"6,751.56","6,751.56","6,678.84","6,707.40","4,473,047","115,249,825",-0.519,0.6877,"533,599,655","15,987,267",-,-,-0.5203,100,100,"825,103",-,18.45,-,1.8,1.41
2006/01/11,"6,702.47","6,741.92","6,650.61","6,735.89","5,237,215","135,428,229",0.4248,0.7975,"533,599,655","16,054,400",-,-,0.4239,100,100,"921,866",-,18.53,-,1.81,1.41
2006/01/12,"6,782.15","6,797.20","6,725.57","6,725.61","6,004,447","144,764,942",-0.1526,0.8898,"533,600,201","16,029,315",-,-,-0.1527,100,100,"1,010,264",-,18.5,-,1.8,1.41
2006/01/13,"6,729.58","6,729.58","6,669.64","6,682.35","3,806,146","97,705,425",-0.6432,0.5664,"533,600,201","15,926,491",-,-,-0.6453,100,100,"709,427",-,18.38,-,1.79,1.4
2006/01/16,"6,680.88","6,733.52","6,664.80","6,724.18","3,088,712","89,125,147",0.626,0.4463,"533,616,674","16,029,037",-,-,0.624,100,100,"615,907",-,18.5,-,1.8,1.41
2006/01/17,"6,752.24","6,775.73","6,711.04","6,711.04","3,908,191","119,008,643",-0.1954,0.5736,"533,610,056","15,997,645",-,-,-0.1956,100,100,"761,069",-,18.46,-,1.8,1.41
2006/01/18,"6,620.77","6,629.44","6,467.73","6,498.92","4,604,046","133,678,055",-3.1608,0.7035,"533,610,056","15,491,897",-,-,-3.2118,100,100,"861,829",-,17.87,-,1.74,1.36
2006/01/19,"6,514.71","6,545.89","6,442.78","6,512.29","3,911,936","116,796,672",0.2057,0.5965,"533,891,259","15,527,951",-,-,0.2055,100,100,"756,199",-,17.91,-,1.75,1.37
